id,source,qoi_target,confidence,local_h,target_dof,calibration_dof,dof_proxy
coarse_global,baseline,both,,,,1131,1131
reference_global,reference,both,,,,33714,33714
A000,oracle_atom,both,,2.6265624999999995,3000,3018,3018
A001,oracle_atom,both,,2.6265624999999995,3000,3039,3039
A010,oracle_atom,both,,2.6589843749999993,3000,3027,3027
A011,oracle_atom,both,,2.6589843749999993,3000,2982,2982
A100,oracle_atom,both,,2.4644531249999995,3000,3018,3018
A101,oracle_atom,both,,2.529296875,3000,2946,2946
A110,oracle_atom,both,,2.4644531249999995,3000,3006,3006
A111,oracle_atom,both,,2.4968749999999997,3000,3051,3051
A200,oracle_atom,both,,2.5941406249999996,3000,2955,2955
A201,oracle_atom,both,,2.5941406249999996,3000,2994,2994
A210,oracle_atom,both,,2.5941406249999996,3000,2976,2976
A211,oracle_atom,both,,2.5941406249999996,3000,3003,3003
A300,oracle_atom,both,,2.6265624999999995,3000,2973,2973
A301,oracle_atom,both,,2.6265624999999995,3000,2982,2982
A310,oracle_atom,both,,2.6265624999999995,3000,3012,3012
A311,oracle_atom,both,,2.6589843749999993,3000,2982,2982
LLM_T1_root_hole_transfer,llm_semantic,tip_displacement,0.88,4.7015625,3000,3009,3009
LLM_T2_root_band,llm_semantic,tip_displacement,0.73,4.150390625,3000,2982,2982
LLM_T3_eccentric_load_path,llm_semantic,tip_displacement,0.61,3.21015625,3000,2976,2976
LLM_H1_hole_local,llm_semantic,hole_opening,0.95,3.79375,3000,2940,2940
LLM_H2_hole_root_coupled,llm_semantic,hole_opening,0.82,4.83125,3000,2994,2994
LLM_H3_positive_y_transfer,llm_semantic,hole_opening,0.58,4.3125,3000,2919,2919
