[setup] gmsh=/usr/bin/gmsh ccx=/usr/bin/ccx theta=0.5 regions=['root_band', 'hole_circle']
[global_dorfler] round=0 dof=1131 error=1.658902e-01 candidates=1161 marked=139
[global_dorfler] round=1 dof=2337 error=6.869756e-02 candidates=2844 marked=605
[global_dorfler] round=2 dof=6372 error=2.538311e-02 candidates=9062 marked=1956
[global_dorfler] round=3 dof=12723 error=1.244822e-02 candidates=19476 marked=3185
[global_dorfler] round=4 dof=14925 error=1.126240e-02 candidates=0 marked=0
[curve_region_dorfler] round=0 dof=1131 error=1.658902e-01 candidates=444 marked=71
[curve_region_dorfler] round=1 dof=1965 error=8.400369e-02 candidates=1324 marked=268
[curve_region_dorfler] round=2 dof=4044 error=4.536199e-02 candidates=3995 marked=790
[curve_region_dorfler] round=3 dof=7338 error=2.943841e-02 candidates=7949 marked=1509
[curve_region_dorfler] round=4 dof=7968 error=2.580843e-02 candidates=0 marked=0
