method,round,dof,elements,qoi,qoi_rel_error,candidate_elements,marked_elements,captured_fraction
global_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,1161,139,0.5001083250116419
global_dorfler,1,2337,2844,-0.011427425239526291,0.0686975576833763,2844,605,0.5001039388885086
global_dorfler,2,6372,9062,-0.011958909562755343,0.025383106886170122,9062,1956,0.5000929310073945
global_dorfler,3,12723,19476,-0.01211762538515625,0.01244822173592743,19476,3185,0.5000306251240528
global_dorfler,4,14925,22975,-0.012132175868262741,0.011262399018217531,0,0,0.0
curve_region_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,444,71,0.5028927246945066
curve_region_dorfler,1,1965,2247,-0.011239613344164918,0.0840036894829672,1324,268,0.5004080227089354
curve_region_dorfler,2,4044,5485,-0.01171376125726922,0.045361991966889524,3995,790,0.5000176710736427
curve_region_dorfler,3,7338,10699,-0.011909149464562872,0.029438412434463886,7949,1509,0.5000738609542176
curve_region_dorfler,4,7968,11673,-0.011953690678689554,0.025808430996786483,0,0,0.0
