method,round,dof,elements,qoi,qoi_rel_error,marked_elements,captured_global_fraction,selected_regions
global_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,139,0.5001083250116419,all_domain
global_dorfler,1,2337,2844,-0.011427425239526291,0.0686975576833763,605,0.5001039388885086,all_domain
global_dorfler,2,6372,9062,-0.011958909562755343,0.025383106886170122,1956,0.5000929310073945,all_domain
global_dorfler,3,12723,19476,-0.01211762538515625,0.01244822173592743,3185,0.5000306251240528,all_domain
global_dorfler,4,14925,22975,-0.012132175868262741,0.011262399018217531,3104,0.5000702817724273,all_domain
global_dorfler,5,15126,23282,-0.012130776808978281,0.011376418344640841,3114,0.5000180820269459,all_domain
global_dorfler,6,15309,23598,-0.012131523443514461,0.011315569767425284,0,0.0,
semantic_partition_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,162,0.5040099014340065,root_region+hole_region+background_region
semantic_partition_dorfler,1,2589,3189,-0.011368678379787552,0.0734852585701762,641,0.5003285184816629,root_region+hole_region+background_region
semantic_partition_dorfler,2,7239,10453,-0.011974067921018103,0.02414774408346367,2259,0.5001204992561284,root_region+hole_region+background_region
semantic_partition_dorfler,3,14493,22313,-0.012128654796313044,0.01154935630190934,3838,0.500128906097278,root_region+hole_region+background_region
semantic_partition_dorfler,4,16170,24883,-0.012142885613478685,0.010389585443231434,3960,0.5002235898756947,root_region+hole_region+background_region
semantic_partition_dorfler,5,16602,25709,-0.012134507071423594,0.011072412634431929,4041,0.5001821663539304,root_region+hole_region+background_region
semantic_partition_dorfler,6,16755,26004,-0.012139606144341933,0.010656852789334488,0,0.0,
