method,seed_count,success_rate_mean,success_rate_std,success_given_reference_feasible_mean,success_given_reference_feasible_std,mean_error_mean,mean_error_std,median_error_mean,median_error_std,cvar90_error_mean,cvar90_error_std,mean_elements_mean,mean_elements_std,mean_H_mean,mean_H_std,mean_N_FE_mean,mean_N_FE_std,mean_W_phys_mean,mean_W_phys_std,mean_P_hat_mean,mean_P_hat_std,mean_P_exec_mean,mean_P_exec_std,mean_PH_gap_mean,mean_PH_gap_std,future_hit_MAE_mean,future_hit_MAE_std,future_hit_exact_mean,future_hit_exact_std,mean_saved_rounds_success_mean,mean_saved_rounds_success_std,fallback_rate_mean,fallback_rate_std
DORFLER_H2,3,0.3103448275862069,0.0,0.3884892086330935,0.0,0.0204169027071597,0.0,0.0180312913969951,0.0,0.0560110040986811,0.0,9.913793103448276,0.0,1.8275862068965523,2.220446049250313e-16,1.8275862068965523,2.220446049250313e-16,152.67241379310346,0.0,0.0,0.0,0.3666119321291735,0.0,0.38816365626710453,5.551115123125783e-17,1.1206896551724137,0.0,0.2155172413793103,0.0,0.0,0.0,0.0,0.0
DORFLER_H3,3,0.4310344827586206,0.0,0.539568345323741,0.0,0.0135574161985429,0.0,0.0080865846198418,0.0,0.049333827736522,0.0,12.96551724137931,0.0,2.5172413793103448,0.0,2.5172413793103448,0.0,301.5344827586207,0.0,0.0,0.0,0.2050903119868637,0.0,0.2654351395730706,0.0,1.1206896551724137,0.0,0.2155172413793103,0.0,0.0,0.0,0.0,0.0
INDICATOR_DELEGATE,3,0.2988505747126437,0.0,0.35251798561151065,5.551115123125783e-17,0.0194042259247784,0.0,0.0107557337991046,0.0,0.058693508772329005,6.938893903907228e-18,18.19540229885057,0.0,2.0,0.0,2.0,0.0,410.4022988505747,0.0,0.3500000000000001,0.0,0.3666119321291735,0.0,0.2378762999452654,0.0,0.8199233716475097,0.0,0.4535440613026818,5.551115123125783e-17,0.673076923076923,1.1102230246251565e-16,0.0,0.0
LLM_DELEGATE,3,0.3505747126436782,0.0,0.4172661870503597,0.0,0.0182486377266664,0.0,0.0099994099242011,0.0,0.05533698855867789,6.938893903907228e-18,17.70689655172414,0.0,2.0,0.0,2.0,0.0,399.2011494252874,0.0,0.3448275862068966,0.0,0.3666119321291735,0.0,0.3206349206349206,0.0,0.9238505747126436,0.0,0.335727969348659,0.0,0.7704918032786884,1.1102230246251565e-16,0.0,0.0
LLM_DELEGATE_GUARDED,3,0.5057471264367817,0.0,0.6115107913669064,0.0,0.0121349164627522,0.0,0.0049436490026632,0.0,0.0579850301321626,0.0,20.373563218390803,0.0,2.6436781609195403,0.0,2.6436781609195403,0.0,670.3390804597701,0.0,0.3448275862068966,0.0,0.24662014230979748,2.7755575615628914e-17,0.3186705350160237,0.0,0.9238505747126436,0.0,0.335727969348659,0.0,0.2613636363636363,0.0,0.6436781609195402,0.0
LLM_TWO_STAGE,3,0.6781609195402298,0.0,0.7913669064748201,0.0,0.0112185981445114,0.0,0.0028279320323599,0.0,0.0636771828461089,0.0,21.75287356321839,0.0,2.6436781609195403,0.0,2.6436781609195403,0.0,739.5919540229885,0.0,0.296551724137931,0.0,0.24662014230979748,2.7755575615628914e-17,0.2971564931060052,0.0,0.9238505747126436,0.0,0.335727969348659,0.0,0.6186440677966102,0.0,0.6436781609195402,0.0
D_SUPPORT_PSO,3,0.44252873563218387,0.004692509085791523,0.52757793764988,0.008972799488666519,0.012645730423393835,0.0006598350746212234,0.006325746188273034,0.00038164497852924683,0.0418584975964117,0.0023522687034415127,14.155172413793103,0.14448051827559324,3.0,0.0,7.653256704980843,0.034589023151854054,1661.8678160919542,27.494374607298443,0.22,0.0,0.2050903119868637,0.0,0.17474548440065676,2.7755575615628914e-17,1.1206896551724137,0.0,0.2155172413793103,0.0,-0.40179849390375705,0.07596938565699372,0.0,0.0
LLM_PSO,3,0.39272030651340994,0.0027092213838565003,0.4700239808153477,0.003391399430151312,0.016584470755082768,6.456230460990964e-05,0.008865495691837333,0.00013177591345808998,0.05227675640271643,0.0005125912130288739,16.871647509578544,0.11196658387894672,3.0,0.0,5.7701149425287355,0.08690648446140835,1699.2490421455939,25.516212887583542,0.2827586206896552,0.0,0.2050903119868637,0.0,0.2786343732895457,0.0,0.9238505747126436,0.0,0.335727969348659,0.0,-0.30235862460926394,0.011654502219045123,0.0,0.0
SL_ONE_SHOT,3,0.47701149425287354,5.551115123125783e-17,0.5827338129496403,0.0,0.0103445151245929,0.0,0.0053171647380767,0.0,0.0394893063425457,0.0,17.982758620689655,0.0,2.0,0.0,1.9482758620689653,0.0,423.7988505747126,0.0,0.6806896551724139,1.1102230246251565e-16,0.3666119321291735,0.0,0.4114833059660647,0.0,0.7222222222222222,0.0,0.4157088122605364,0.0,0.7831325301204819,0.0,0.0,0.0
ORACLE_CURRENT_SUPPORT,3,0.4827586206896552,0.0,0.5827338129496403,0.0,0.0179685634901292,0.0,0.0053935279815444,0.0,0.0554236819526,0.0,14.729885057471265,0.0,2.0,0.0,1.8275862068965523,2.220446049250313e-16,290.0057471264368,0.0,0.3666119321291735,0.0,0.3666119321291735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4047619047619047,0.0,0.0,0.0
ORACLE_FULL_TRAJECTORY,3,0.7988505747126436,0.0,1.0,0.0,0.007110857689966399,8.673617379884035e-19,0.0034231395222197,0.0,0.036998380497169,0.0,18.919540229885055,0.0,2.0,0.0,1.8275862068965523,2.220446049250313e-16,477.12643678160913,5.684341886080802e-14,0.3666119321291735,0.0,0.3666119321291735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1223021582733812,0.0,0.0,0.0
PH_ROUTER,3,0.4444444444444444,0.0027092213838565003,0.5419664268585132,0.0033913994301513384,0.014685451037421367,4.203907501980268e-05,0.0062579197260455,0.0002294672094017065,0.054353560578903365,0.0002617912507319618,17.67624521072797,0.06917804630370893,2.5919540229885056,0.0,3.187739463601533,0.007167926028302551,790.9827586206897,6.9369046134345025,0.3353639846743295,0.0,0.2489189928845101,0.0,0.33517527551252807,5.551115123125783e-17,1.0708812260536398,0.0,0.25,0.0,0.12504162504162497,0.006828537014455514,0.0919540229885057,0.0
