seed,method,selected_count,oracle_count,selected_fraction,oracle_fraction
20260811,DM_D,87,84,0.6590909090909091,0.6363636363636364
20260811,DM_PSO,12,3,0.09090909090909091,0.022727272727272728
20260811,DM_DQN,12,7,0.09090909090909091,0.05303030303030303
20260811,LM_D,3,5,0.022727272727272728,0.03787878787878788
20260811,LM_PSO,3,3,0.022727272727272728,0.022727272727272728
20260811,LM_DQN,6,9,0.045454545454545456,0.06818181818181818
20260811,SL_ONE_SHOT,9,21,0.06818181818181818,0.1590909090909091
20260812,DM_D,87,78,0.6590909090909091,0.5909090909090909
20260812,DM_PSO,6,3,0.045454545454545456,0.022727272727272728
20260812,DM_DQN,0,12,0.0,0.09090909090909091
20260812,LM_D,3,3,0.022727272727272728,0.022727272727272728
20260812,LM_PSO,9,1,0.06818181818181818,0.007575757575757576
20260812,LM_DQN,6,16,0.045454545454545456,0.12121212121212122
20260812,SL_ONE_SHOT,21,19,0.1590909090909091,0.14393939393939395
20260813,DM_D,81,79,0.6136363636363636,0.5984848484848485
20260813,DM_PSO,6,3,0.045454545454545456,0.022727272727272728
20260813,DM_DQN,6,20,0.045454545454545456,0.15151515151515152
20260813,LM_D,3,3,0.022727272727272728,0.022727272727272728
20260813,LM_PSO,9,0,0.06818181818181818,0.0
20260813,LM_DQN,6,6,0.045454545454545456,0.045454545454545456
20260813,SL_ONE_SHOT,21,21,0.1590909090909091,0.1590909090909091
