method,round,dof,elements,qoi,qoi_rel_error,marked_elements,captured_global_fraction,selected_regions
global_dorfler,0,1131,1161,-0.010234835925971875,0.1763965859639426,139,0.5001083250116419,all_domain
global_dorfler,1,2337,2844,-0.011427425239526291,0.08042820529905509,605,0.5001039388885086,all_domain
global_dorfler,2,6579,9305,-0.01197211181577033,0.036596948303930996,1974,0.5000941719462834,all_domain
global_dorfler,3,19827,31719,-0.012251256725041551,0.01413398925412757,6298,0.5000106998572988,all_domain
global_dorfler,4,48822,83254,-0.012364465974184245,0.0050239727605776285,13474,0.5000137624682656,all_domain
global_dorfler,5,68253,118629,-0.012381206416414742,0.0036768592872171786,13209,0.5000075833982295,all_domain
global_dorfler,6,70230,122292,-0.012382665014957743,0.003559484983572978,13001,0.5000109157593505,all_domain
global_dorfler,7,71079,123575,-0.012384597828316083,0.003403950327996907,13215,0.500004114194972,all_domain
global_dorfler,8,71772,124904,-0.012384416844015195,0.00341851424374274,13009,0.5000071167095194,all_domain
global_dorfler,9,72522,126684,-0.012383898767632448,0.003460204162433,0,0.0,
semantic_partition_dorfler,0,1131,1161,-0.010234835925971875,0.1763965859639426,199,0.5007780216039084,background_region+root_region
semantic_partition_dorfler,1,2679,3312,-0.011462304327620597,0.07762146406346396,1020,0.5002374611283088,background_region+root_region
semantic_partition_dorfler,2,8727,12824,-0.011927455521980816,0.04019046717314028,2617,0.5000430426255442,background_region+hole_region
semantic_partition_dorfler,3,22728,36677,-0.012220733753428156,0.016590191171690902,6734,0.500000998865359,root_region+background_region
semantic_partition_dorfler,4,50385,86294,-0.012321286514055178,0.00849864993525417,7210,0.5000074030158862,hole_region+root_region
semantic_partition_dorfler,5,59211,102022,-0.012375550355788467,0.0041320058939130055,16439,0.5000047556707206,hole_region+root_region
semantic_partition_dorfler,6,60216,104054,-0.012380201836873885,0.003757698408186473,28740,0.500002150058599,hole_region+background_region
semantic_partition_dorfler,7,79578,138889,-0.012386326160192161,0.0032648704205102473,13708,0.500005811112699,hole_region+root_region
semantic_partition_dorfler,8,79602,138960,-0.012385305073077977,0.003347037915851951,13787,0.500009353670675,hole_region+root_region
semantic_partition_dorfler,9,79611,139010,-0.012385628084859981,0.0033210449631210304,0,0.0,
