method,round,dof,qoi_rel_error
global_dorfler,0,1131.0,0.1763965859639426
global_dorfler,1,2337.0,0.08042820529905509
global_dorfler,2,6579.0,0.036596948303930996
global_dorfler,3,19827.0,0.01413398925412757
global_dorfler,4,48822.0,0.0050239727605776285
global_dorfler,5,68253.0,0.0036768592872171786
global_dorfler,6,70230.0,0.003559484983572978
global_dorfler,7,71079.0,0.003403950327996907
semantic_partition_dorfler,0,1131.0,0.1763965859639426
semantic_partition_dorfler,1,2679.0,0.07762146406346396
semantic_partition_dorfler,2,8727.0,0.04019046717314028
semantic_partition_dorfler,3,22728.0,0.016590191171690902
semantic_partition_dorfler,4,50385.0,0.00849864993525417
semantic_partition_dorfler,5,59211.0,0.0041320058939130055
semantic_partition_dorfler,6,60216.0,0.003757698408186473
semantic_partition_dorfler,7,79578.0,0.0032648704205102473
