method,round,dof,elements,qoi,qoi_rel_error,marked_elements,captured_global_fraction,selected_regions
global_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,139,0.5001083250116419,all_domain
global_dorfler,1,2337,2844,-0.011427425239526291,0.0686975576833763,605,0.5001039388885086,all_domain
global_dorfler,2,6372,9062,-0.011958909562755343,0.025383106886170122,1956,0.5000929310073945,all_domain
global_dorfler,3,12723,19476,-0.01211762538515625,0.01244822173592743,3185,0.5000306251240528,all_domain
global_dorfler,4,14925,22975,-0.012132175868262741,0.011262399018217531,3104,0.5000702817724273,all_domain
global_dorfler,5,15126,23282,-0.012130776808978281,0.011376418344640841,0,0.0,
semantic_partition_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,199,0.5007780216039084,background_region+root_region
semantic_partition_dorfler,1,2679,3312,-0.011462304327620597,0.06585501185637334,1020,0.5002374611283088,background_region+root_region
semantic_partition_dorfler,2,8115,11935,-0.01190150780111646,0.030061186128610563,2460,0.5000268177662169,background_region+hole_region
semantic_partition_dorfler,3,15138,23484,-0.012124504781821682,0.011887570602195202,5048,0.5000294336521738,root_region+background_region
semantic_partition_dorfler,4,16173,24999,-0.012137510494385896,0.010827642261275005,5667,0.5000087440522094,root_region+background_region
semantic_partition_dorfler,5,16581,25750,-0.012141099601303043,0.01053514032250817,0,0.0,
