method,round,region,theta,rank,size_ratio,region_mass,marked_elements
global_dorfler,0,all_domain,0.5,1,0.8,857263.1952807769,139
global_dorfler,1,all_domain,0.5,1,0.8,637126.66189696,383
global_dorfler,2,all_domain,0.5,1,0.8,441229.39318821527,823
global_dorfler,3,all_domain,0.5,1,0.8,317513.41810754064,1679
semantic_ranked_intensity,0,background_region,0.5,1,0.8,327094.00080708636,717
semantic_ranked_intensity,0,root_region,0.5,3,0.5120000000000001,293339.7305146407,178
semantic_ranked_intensity,1,background_region,0.5,1,0.8,183946.4136081123,2476
semantic_ranked_intensity,1,hole_region,0.5,2,0.6400000000000001,137000.94602060036,707
semantic_ranked_intensity,2,root_region,0.5,3,0.5120000000000001,97399.75676956172,2766
semantic_ranked_intensity,2,background_region,0.5,1,0.8,94088.2380695066,7674
semantic_ranked_intensity,3,hole_region,0.5,2,0.6400000000000001,55040.47387228807,6163
semantic_ranked_intensity,3,background_region,0.5,1,0.8,53187.562915924274,22122
