method,round,dof,elements,qoi,qoi_rel_error,marked_elements,captured_global_fraction,selected_regions
global_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,139,0.5001083250116419,all_domain:0.5000
global_dorfler,1,2337,2844,-0.011427425239526291,0.0686975576833763,605,0.5001039388885086,all_domain:0.5000
global_dorfler,2,6372,9062,-0.011958909562755343,0.025383106886170122,1956,0.5000929310073945,all_domain:0.5000
global_dorfler,3,12723,19476,-0.01211762538515625,0.01244822173592743,3185,0.5000306251240528,all_domain:0.5000
global_dorfler,4,14925,22975,-0.012132175868262741,0.011262399018217531,3104,0.5000702817724273,all_domain:0.5000
global_dorfler,5,15126,23282,-0.012130776808978281,0.011376418344640841,3114,0.5000180820269459,all_domain:0.5000
global_dorfler,6,15309,23598,-0.012131523443514461,0.011315569767425284,0,0.0,
semantic_partition_dorfler,0,1131,1161,-0.010234835925971875,0.16589017256500946,148,0.5018850353250391,background_region:0.2101;hole_region:0.4993;root_region:0.8239
semantic_partition_dorfler,1,2253,2659,-0.011348811641908688,0.07510434083233392,677,0.500928867568875,background_region:0.2185;hole_region:0.5309;root_region:0.8083
semantic_partition_dorfler,2,5874,8314,-0.011927892627657716,0.027910898300607133,2339,0.500085055735423,background_region:0.3172;hole_region:0.6253;root_region:0.7198
semantic_partition_dorfler,3,10335,15307,-0.01209545800326949,0.014254799898390276,3417,0.5001834252407966,background_region:0.2446;hole_region:0.5716;root_region:0.7841
semantic_partition_dorfler,4,13269,20383,-0.012123813544622667,0.011943904455024587,3334,0.5000867052897532,background_region:0.1824;hole_region:0.5658;root_region:0.7700
semantic_partition_dorfler,5,14340,21973,-0.01212963997995463,0.011469066655527198,3229,0.5002022910546126,background_region:0.1691;hole_region:0.5780;root_region:0.7525
semantic_partition_dorfler,6,14733,22650,-0.012128039523206917,0.011599499298640204,0,0.0,
